Statistical profiling result from fast-v8.log, (15115 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  LazyCompile: *parse C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\character-parser\index.js:28:15
      1    0.0%    0.2%  LazyCompile: *nextToken C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2009:12
      1    0.0%    0.2%  LazyCompile: *next C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\express\lib\router\index.js:177:16
      1    0.0%    0.2%  LazyCompile: *isFileType node:fs:205:20
      1    0.0%    0.2%  LazyCompile: *isExpression C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\is-expression\index.js:14:22
      1    0.0%    0.2%  LazyCompile: *include C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:818:20
      1    0.0%    0.2%  LazyCompile: *handle C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\express\lib\router\layer.js:86:49
      1    0.0%    0.2%  LazyCompile: *finishToken C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2189:14
      1    0.0%    0.2%  LazyCompile: *finishOp C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2686:11
      1    0.0%    0.2%  LazyCompile: *finishNodeAt C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:4294:15
      1    0.0%    0.2%  LazyCompile: *finalizeRemainingComments C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1691:28
      1    0.0%    0.2%  LazyCompile: *extends C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:683:20
      1    0.0%    0.2%  LazyCompile: *eos C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:317:16
      1    0.0%    0.2%  LazyCompile: *eat C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1926:6
      1    0.0%    0.2%  LazyCompile: *eachOf C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1088:19
      1    0.0%    0.2%  LazyCompile: *each C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1042:17
      1    0.0%    0.2%  LazyCompile: *dot C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:670:16
      1    0.0%    0.2%  LazyCompile: *default C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:902:20
      1    0.0%    0.2%  LazyCompile: *conditional C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:984:24
      1    0.0%    0.2%  LazyCompile: *className C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:465:22
      1    0.0%    0.2%  LazyCompile: *checkLVal C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:11955:12
      1    0.0%    0.2%  LazyCompile: *case C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:855:17
      1    0.0%    0.2%  LazyCompile: *call C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:920:17
      1    0.0%    0.2%  LazyCompile: *blockCode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1203:22
      1    0.0%    0.2%  LazyCompile: *basename node:path:749:11
      1    0.0%    0.2%  LazyCompile: *attrs C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:1440:18
      1    0.0%    0.2%  LazyCompile: *Scope C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:3402:14
      1    0.0%    0.2%  LazyCompile: *Parser C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:16382:14
      1    0.0%    0.2%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      1    0.0%    0.2%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:583:37
      1    0.0%    0.2%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      1    0.0%    0.2%  LazyCompile: *Hash node:internal/crypto/hash:58:14
      1    0.0%    0.2%  Function: ^writeOrBuffer C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\readable-stream\lib\_stream_writable.js:363:23
      1    0.0%    0.2%  Function: ^visitCode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:769:22
      1    0.0%    0.2%  Function: ^visitAttributes C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-code-gen\index.js:935:28
      1    0.0%    0.2%  Function: ^validateString node:internal/validators:118:24
      1    0.0%    0.2%  Function: ^updateChildren node:internal/modules/cjs/loader:165:24
      1    0.0%    0.2%  Function: ^unwrapReturns C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\with\lib\index.js:127:23
      1    0.0%    0.2%  Function: ^unenroll node:timers:78:18
      1    0.0%    0.2%  Function: ^tryExtensions node:internal/modules/cjs/loader:400:23
      1    0.0%    0.2%  Function: ^stringifyFnReplacer C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\safe-stable-stringify\index.js:203:32
      1    0.0%    0.2%  Function: ^send C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\express\lib\response.js:111:25
